hi,it
-0.103271395874707,1
-0.103141826616233,1
-0.103140329971926,1
-0.103092589064825,1
-0.103274053694435,1
-0.103139597825835,1
-0.103142784929261,1
-0.103084097599272,1
-0.103279036547648,1
-0.103137159220899,1
-0.103152977573163,1
-0.103088529107237,1
-0.103284736772286,1
-0.103133862711963,1
-0.103151672304756,1
-0.103087043774158,1
-0.103293109234379,1
-0.103125486624377,1
-0.103157737481037,1
-0.103093922468513,1
-0.103294406874023,1
-0.103124344382754,1
-0.10316144051113,1
-0.103086459940867,1
-0.103298610492521,1
-0.103122569751735,1
-0.103171941940614,1
-0.10323261470259,1
-0.103092238856679,1
-0.103303396463651,1
-0.103120578775273,1
-0.103171776463791,1
-0.103230144419236,1
-0.103091860105108,1
-0.103309556180046,1
-0.103112971057398,1
-0.10317809585229,1
-0.103225610415814,1
-0.103100099469104,1
-0.103307771660518,1
-0.103113122166837,1
-0.103182819207014,1
-0.103219256198914,1
-0.103093693231257,1
-0.1033108996398,1
-0.103110164935972,1
-0.103193399524027,1
-0.10321972739379,1
-0.103210690962328,1
-0.103099079060891,1
-0.103313318586266,1
-0.103110022619947,1
-0.103194141932641,1
-0.103223443955767,1
-0.103207444327614,1
-0.103098110405481,1
-0.10331647081018,1
-0.103100735241037,1
-0.103200291107366,1
-0.103221482053494,1
-0.103203740139861,1
-0.103106945109308,1
-0.103311272538051,1
-0.103101402777625,1
-0.103205225644786,1
-0.10319763220043,1
-0.103100891429916,1
-0.103312452374399,1
-0.103099077923259,1
-0.103214897214585,1
-0.103188621626597,1
-0.103106958748223,1
-0.103312312629942,1
-0.10310049242855,1
-0.103217759284104,1
-0.103185584866462,1
-0.10310735085345,1
-0.10331224040618,1
-0.103091946998599,1
-0.103222650832437,1
-0.103182470363129,1
-0.103117146358463,1
-0.10330411142848,1
-0.103094091762667,1
-0.103228225695155,1
-0.103176788255449,1
-0.103112372158333,1
-0.103303515606925,1
-0.103092547778883,1
-0.103237895945747,1
-0.103168522158105,1
-0.103119287943895,1
-0.103300985488275,1
-0.103095598281142,1
-0.103241311471535,1
-0.103166028171518,1
-0.103120991661901,1
-0.103297878593254,1
-0.103087873382696,1
-0.103246186181878,1
-0.103163638477505,1
-0.103131530550259,1
-0.103287785868257,1
-0.103091547644842,1
-0.103252063690885,1
-0.103158689518827,1
-0.103127964657921,1
-0.103285982226196,1
-0.103089174163854,1
-0.103261551408361,1
-0.103149834764926,1
-0.103134535220635,1
-0.103093935531131,1
-0.103264738683847,1
-0.103147252354225,1
-0.103136403967797,1
-0.103085043916731,1
-0.103269874613477,1
-0.10314458159505,1
-0.103146384369655,1
-0.103088888444095,1
-0.103275706206423,1
-0.103140836228521,1
-0.103144534255202,1
-0.103086965367415,1
-0.103284552748538,1
-0.103132176548085,1
-0.103150414659665,1
-0.103093231725652,1
-0.103286027115818,1
-0.103130576431562,1
-0.103153605189387,1
-0.103085340139389,1
-0.103290557835389,1
-0.103128523240235,1
-0.103163985086457,1
-0.103090562411055,1
-0.103295894462766,1
-0.103125983936219,1
