hi,it
1.75991473329759,1
1.75615012411705,1
1.763231674713,1
1.75991473357417,1
1.75615012408358,1
1.7632316744529,1
1.75991473380061,1
1.75615012426132,1
1.76323167425556,1
1.75991473374171,1
1.75615012445926,1
1.7632316743198,1
1.75991473351336,1
1.75615012445427,1
1.7632316745402,1
1.75991473335504,1
1.75615012429921,1
1.76323167467335,1
1.75991473344392,1
1.75615012414817,1
1.76323167459351,1
1.75991473362205,1
1.75615012418314,1
1.76323167441536,1
1.7599147337397,1
1.75615012432158,1
1.76323167433023,1
1.7599147336406,1
1.75615012440078,1
1.76323167441302,1
1.75991473349131,1
1.75615012436733,1
1.76323167455638,1
1.75991473340318,1
1.75615012426811,1
1.76323167460627,1
1.75991473351035,1
1.75615012420427,1
1.76323167452342,1
1.75991473363193,1
1.75615012425382,1
1.76323167441229,1
1.75991473367403,1
1.75615012431647,1
1.76323167438985,1
1.75991473359023,1
1.75615012435891,1
1.76323167446694,1
1.75991473347363,1
1.75615012433724,1
1.76323167455186,1
1.7599147334848,1
1.7561501242537,1
1.76323167455274,1
1.75991473354602,1
1.75615012424354,1
1.7632316744856,1
1.75991473360733,1
1.75615012429483,1
1.7632316744244,1
1.75991473363431,1
1.75615012431536,1
1.76323167443438,1
1.75991473357421,1
1.75615012432531,1
1.76323167449261,1
1.75991473350392,1
1.75615012429607,1
1.76323167453622,1
1.75991473349414,1
1.75615012427814,1
1.76323167452032,1
1.75991473355243,1
1.75615012427203,1
1.76323167446815,1
1.75991473360881,1
1.7561501243074,1
1.76323167444121,1
1.75991473359122,1
1.75615012431271,1
1.76323167445894,1
1.75991473354929,1
1.75615012432039,1
1.76323167450184,1
1.75991473350621,1
1.75615012430977,1
1.76323167451956,1
1.75991473352172,1
1.75615012427112,1
1.76323167449642,1
1.75991473355367,1
1.75615012429265,1
1.76323167446754,1
1.75991473357954,1
1.75615012431202,1
1.76323167445673,1
1.75991473357594,1
1.75615012430107,1
1.76323167447625,1
1.75991473355483,1
1.75615012430349,1
1.76323167450231,1
1.75991473353087,1
1.75615012427778,1
1.76323167450475,1
1.75991473355924,1
1.75615012428873,1
1.76323167448733,1
1.75991473357694,1
1.75615012430273,1
1.76323167446721,1
1.75991473357755,1
1.75615012432104,1
